slug,status
tastea-grill-san-diego,open
tastea-rowland-heights,open
tea-bar-rowland-heights,closed
tea-bar-starry-arcadia,closed
tea-block-rowland-heights,open
tea-brick-monterey-park,open
tea-garden-cafe-diamond-bar,open
tea-n-more-san-diego,open
tea-pop-burbank,open
tea-republic-el-monte,open
tea-republic-san-diego,open
tea-republic-san-gabriel,open
tea-rush-diamond-bar,closed
tea-spots-pasadena,open
tea-station-cerritos,closed
tea-station-express-temple-city,open
tea-station-gardena,open
tea-station-irvine,open
tea-station-rowland-heights,closed
tea-station-san-diego,open
tea-station-san-gabriel,open
tea-station-temple-city,closed
tea-time-express-corona,closed
tea-time-express-rowland-heights,open
tea-time-temecula,open
teaarias-huntington-beach,temporarily_closed
tealicious-diamond-bar,open
teaology-walnut,closed
tebo-tebo-tea-express-garden-grove,open
tebo-tebo-tea-express-westminster,open
tebo-tebo-tea-lounge-irvine,open
tebo-tebo-tea-lounge-westminster,open
ten-ren-san-gabriel,closed
ten-ren-tea-anaheim,open
ten-rens-tea-time-arcadia,open
ten-rens-tea-time-fullerton,open
ten-rens-tea-time-los-angeles,open
ten-rens-tea-time-monterey-park,open
ten-rens-tea-time-riverside,open
ten-rens-tea-time-rowland-heights,closed
ten-rens-tea-time-walnut,open
that-boba-place-costa-mesa,closed
the-boba-promenade-cafe-santa-monica,open
the-ice-bar-covina,closed
the-loose-teas-monrovia,closed
the-vounge-el-monte,open
tlight-boba-santa-monica,open
trinitea-san-diego,open
triple-beverage-temecula,closed
turtle-tea-westminster,closed
twinkle-brown-sugar-los-angeles,open
ubatuba-acai-brea,seed
up2you-cafe-san-diego,open
urban-location-garden-grove,open
vanitea-cafe-san-diego,open
volcano-tea-house-los-angeles,open
yo-boba-los-angeles,open
yoshantea-tea-house-arcadia,open
you-and-me-cafe-diamond-bar,open
zero-degrees-rowland-heights,closed
zero-degrees-westminster,open
zero-express-fullerton,closed
zero-express-long-beach,closed
zero-x-pomona,closed
